query_id;dop;execution_time;l_input_rows;r_input_rows
22;16;0.127375;1;0
22;16;0.107625;1;0
23;24;0.090375;1;0
23;24;0.224000;1;0
24;2;0.265000;1;0
24;2;0.248500;1;0
25;32;0.301375;1;0
25;32;0.150375;1;0
26;40;0.132600;1;0
26;40;0.109550;1;0
27;4;0.282000;1;0
27;4;0.147250;1;0
28;8;0.237000;1;0
28;8;0.162750;1;0
29;16;0.092063;1;0
29;16;0.485187;1;0
30;24;0.787292;1;0
30;24;0.053958;1;0
31;2;0.256500;1;0
31;2;0.364500;1;0
32;32;2.642406;1;0
32;32;0.125625;1;0
33;40;0.267000;1;0
33;40;0.508600;1;0
34;4;0.285750;1;0
34;4;0.267750;1;0
35;8;0.191375;1;0
35;8;0.151625;1;0
36;16;0.408562;1;0
36;16;0.160812;1;0
37;24;0.652375;1;0
37;24;0.277333;1;0
38;2;0.358000;1;0
38;2;0.273500;1;0
39;32;0.284750;1;0
39;32;0.146313;1;0
40;40;0.920075;1;0
40;40;0.124375;1;0
41;4;0.178000;1;0
41;4;0.202000;1;0
42;8;0.096500;1;0
42;8;0.171000;1;0
218;16;4.992375;1;0
219;24;0.151583;1;0
220;2;0.681000;1;0
221;32;0.079781;1;0
222;40;0.179050;1;0
223;4;0.192750;1;0
224;8;0.102375;1;0
225;16;0.078750;1;0
226;24;0.111667;1;0
227;2;0.684500;1;0
228;32;0.307906;1;0
229;40;0.269825;1;0
230;4;0.198000;1;0
231;8;0.235000;1;0
232;16;0.126250;1;0
233;24;0.162500;1;0
234;2;0.245500;1;0
235;32;0.164281;1;0
236;40;0.120775;1;0
237;4;0.141000;1;0
238;8;0.111375;1;0
239;16;0.161125;1;0
240;24;0.073667;1;0
241;2;0.219500;1;0
242;32;0.130594;1;0
243;40;0.186350;1;0
244;4;0.204250;1;0
245;8;0.171125;1;0
246;16;0.232063;1;0
247;24;0.326958;1;0
248;2;0.297500;1;0
249;32;0.387813;1;0
250;40;0.072025;1;0
251;4;0.197750;1;0
252;8;0.191375;1;0
253;16;0.095875;1;0
254;24;0.221875;1;0
255;2;0.182000;1;0
256;32;0.315031;1;0
257;40;0.119550;1;0
258;4;0.082750;1;0
259;8;0.347375;1;0
281;16;8.001125;1;0
281;16;10.555563;1;0
282;24;0.058875;1;0
282;24;0.105125;1;0
283;2;0.182000;1;0
283;2;0.218000;1;0
284;32;0.107469;1;0
284;32;0.197937;1;0
285;40;0.210600;1;0
285;40;0.017525;1;0
286;4;0.242250;1;0
286;4;0.106750;1;0
287;8;0.235375;1;0
287;8;0.083000;1;0
288;16;0.061062;1;0
288;16;0.173250;1;0
289;24;0.102833;1;0
289;24;0.035500;1;0
290;2;0.343500;1;0
290;2;0.253000;1;0
291;32;0.288562;1;0
291;32;0.253531;1;0
292;40;0.254475;1;0
292;40;0.152425;1;0
293;4;0.539750;1;0
293;4;0.104000;1;0
294;8;0.084750;1;0
294;8;0.125750;1;0
295;16;0.259375;1;0
295;16;0.129688;1;0
296;24;0.094417;1;0
296;24;0.179375;1;0
297;2;0.192000;1;0
297;2;0.134500;1;0
298;32;0.293438;1;0
298;32;0.133406;1;0
299;40;0.200950;1;0
299;40;0.286700;1;0
300;4;0.190000;1;0
300;4;0.212000;1;0
301;8;0.196625;1;0
301;8;0.177625;1;0
302;16;0.450375;1;0
302;16;0.229750;1;0
303;24;0.112625;1;0
303;24;0.493375;1;0
304;2;0.239500;1;0
304;2;0.241000;1;0
305;32;0.219844;1;0
305;32;0.067094;1;0
306;40;0.098175;1;0
306;40;0.243650;1;0
307;4;0.181250;1;0
307;4;0.151750;1;0
308;8;0.320000;1;0
308;8;0.237375;1;0
365;16;0.055125;1;0
366;24;0.139792;1;0
367;2;0.323000;1;0
368;32;0.303906;1;0
369;40;0.208600;1;0
370;4;0.168000;1;0
371;8;0.152375;1;0
372;16;0.195250;1;0
373;24;0.189125;1;0
374;2;0.240000;1;0
375;32;0.116875;1;0
376;40;0.177125;1;0
377;4;0.315500;1;0
378;8;0.150375;1;0
379;16;0.113000;1;0
380;24;0.146875;1;0
381;2;0.383500;1;0
382;32;0.108813;1;0
383;40;0.093450;1;0
384;4;0.154250;1;0
385;8;0.089750;1;0
386;16;0.124063;1;0
387;24;0.053792;1;0
388;2;0.354000;1;0
389;32;0.153438;1;0
390;40;0.247975;1;0
391;4;0.383000;1;0
392;8;0.135750;1;0
442;16;0.299063;1;0
443;24;0.224250;1;0
444;2;0.230500;1;0
445;32;0.287906;1;0
446;40;0.480825;1;0
447;4;0.224750;1;0
448;8;0.093625;1;0
449;16;0.097312;1;0
450;24;0.091917;1;0
451;2;0.334000;1;0
452;32;0.152219;1;0
453;40;0.206750;1;0
454;4;0.173500;1;0
455;8;0.114375;1;0
456;16;0.171500;1;0
457;24;0.121792;1;0
458;2;0.261000;1;0
459;32;0.369219;1;0
460;40;0.275900;1;0
461;4;0.143000;1;0
462;8;0.179375;1;0
421;16;0.074250;2;0
421;16;0.100187;2;0
422;24;0.665292;2;0
422;24;0.275500;2;0
423;2;0.188000;2;0
423;2;0.189000;2;0
424;32;0.117594;2;0
424;32;0.152750;2;0
425;40;0.302625;2;0
425;40;0.752500;2;0
426;4;0.231250;2;0
426;4;0.248250;2;0
427;8;0.459500;2;0
427;8;0.172250;2;0
428;16;0.134563;2;0
428;16;0.399375;2;0
429;24;0.071875;2;0
429;24;0.201000;2;0
430;2;0.256000;2;0
430;2;0.317500;2;0
431;32;0.099187;2;0
431;32;0.125281;2;0
432;40;0.110700;2;0
432;40;0.169600;2;0
433;4;0.230000;2;0
433;4;0.238750;2;0
434;8;0.051875;2;0
434;8;0.047750;2;0
435;16;0.380750;2;0
435;16;0.056625;2;0
436;24;0.223958;2;0
436;24;0.178042;2;0
437;2;0.376500;2;0
437;2;0.339500;2;0
438;32;0.145906;2;0
438;32;0.446781;2;0
439;40;0.079875;2;0
439;40;0.391925;2;0
440;4;0.220250;2;0
440;4;0.148000;2;0
441;8;0.248500;2;0
441;8;0.177125;2;0
281;16;0.034625;5;0
281;16;0.069000;5;0
282;24;0.064500;5;0
282;24;0.092333;5;0
283;2;0.168000;5;0
283;2;0.140000;5;0
284;32;0.048906;5;0
284;32;0.043000;5;0
285;40;0.065750;5;0
285;40;0.055000;5;0
286;4;0.117500;5;0
286;4;0.121750;5;0
287;8;0.072250;5;0
287;8;0.069750;5;0
288;16;0.045125;5;0
288;16;0.099000;5;0
289;24;0.050625;5;0
289;24;0.084083;5;0
290;2;0.158500;5;0
290;2;0.188000;5;0
291;32;0.038437;5;0
291;32;0.039844;5;0
292;40;0.050550;5;0
292;40;0.098850;5;0
293;4;0.086000;5;0
293;4;0.081500;5;0
294;8;0.085750;5;0
294;8;0.052375;5;0
295;16;0.034750;5;0
295;16;0.076250;5;0
296;24;0.060042;5;0
296;24;0.040250;5;0
297;2;0.119000;5;0
297;2;0.224500;5;0
298;32;0.067844;5;0
298;32;0.039719;5;0
299;40;0.064050;5;0
299;40;0.067425;5;0
300;4;0.087750;5;0
300;4;0.117250;5;0
301;8;0.107250;5;0
301;8;0.084375;5;0
302;16;0.080062;5;0
302;16;0.050000;5;0
303;24;0.085917;5;0
303;24;0.037000;5;0
304;2;0.146000;5;0
304;2;0.146500;5;0
305;32;0.059844;5;0
305;32;0.038781;5;0
306;40;0.049375;5;0
306;40;0.063925;5;0
307;4;0.120250;5;0
307;4;0.096500;5;0
308;8;0.102500;5;0
308;8;0.073125;5;0
365;16;0.068875;5;0
366;24;0.027333;5;0
367;2;0.210500;5;0
368;32;0.030844;5;0
369;40;0.316675;5;0
370;4;0.108000;5;0
371;8;0.086625;5;0
372;16;0.090125;5;0
373;24;0.065417;5;0
374;2;0.150500;5;0
375;32;0.051250;5;0
376;40;0.091050;5;0
377;4;0.171000;5;0
378;8;0.100750;5;0
379;16;0.063062;5;0
380;24;0.105833;5;0
381;2;0.202500;5;0
382;32;0.070625;5;0
383;40;0.071575;5;0
384;4;0.161500;5;0
385;8;0.050625;5;0
386;16;0.083000;5;0
387;24;0.035500;5;0
388;2;0.173500;5;0
389;32;0.185125;5;0
390;40;0.078675;5;0
391;4;0.110500;5;0
392;8;0.086625;5;0
442;16;0.043937;5;0
443;24;0.062167;5;0
444;2;0.200000;5;0
445;32;0.086250;5;0
446;40;0.053725;5;0
447;4;0.109750;5;0
448;8;0.083625;5;0
449;16;0.086625;5;0
450;24;0.083625;5;0
451;2;0.130000;5;0
452;32;0.079469;5;0
453;40;0.033500;5;0
454;4;0.150750;5;0
455;8;0.099000;5;0
456;16;0.048875;5;0
457;24;0.047958;5;0
458;2;0.180000;5;0
459;32;0.071719;5;0
460;40;0.104550;5;0
461;4;0.163250;5;0
462;8;0.053125;5;0
